gene	n_isolates	prevalence	single_copy_frac	excluded_reason	is_core_cds
group_4603	1231	1.0	1.0		True
group_4600	1231	1.0	0.9643		False
group_4598	1231	1.0	1.0		True
group_4597	1231	1.0	0.9992		True
group_4596	1231	1.0	1.0		True
group_4593	1231	1.0	0.9984		True
group_4590	1231	1.0	1.0		True
group_4584	1231	1.0	0.9911		True
group_4582	1231	1.0	1.0		True
msaA	1231	1.0	1.0		True
group_4581	1231	1.0	1.0		True
group_4565	1231	1.0	1.0		True
group_4561	1231	1.0	1.0		True
mnhD1	1231	1.0	0.9976		True
mnhB1	1231	1.0	1.0		True
rpiR	1231	1.0	0.9935		True
femX	1231	1.0	0.9992		True
group_4556	1231	1.0	1.0		True
group_4552	1231	1.0	0.9992		True
group_4551	1231	1.0	0.9992		True
ptpA	1231	1.0	1.0		True
group_4549	1231	1.0	0.9854		False
group_4546	1231	1.0	0.9943		True
group_4542	1231	1.0	1.0		True
group_4526	1231	1.0	0.9992		True
group_4521	1231	1.0	0.9992		True
group_4518	1231	1.0	0.9992		True
group_4517	1231	1.0	1.0		True
group_4516	1231	1.0	1.0		True
yjbH~~~spxH	1231	1.0	0.9992		True
group_4512	1231	1.0	1.0		True
group_4509	1231	1.0	1.0		True
group_4508	1231	1.0	1.0		True
group_4503	1231	1.0	1.0		True
group_4501	1231	1.0	1.0		True
group_4500	1231	1.0	1.0		True
group_4498	1231	1.0	1.0		True
tcyP	1231	1.0	0.9797		False
group_4487	1231	1.0	1.0		True
ureF	1231	1.0	0.9992		True
group_4486	1231	1.0	1.0		True
oatA	1231	1.0	0.9578		False
sceD	1231	1.0	1.0		True
yugP	1231	1.0	1.0		True
hslV	1231	1.0	1.0		True
mnmG	1231	1.0	0.9976		True
pepB	1231	1.0	1.0		True
mecA	1231	1.0	0.9992		True
group_4480	1231	1.0	0.9992		True
group_4470	1231	1.0	0.9943		True
group_4469	1231	1.0	1.0		True
group_4465	1231	1.0	0.9984		True
ftsA	1231	1.0	0.9992		True
ytmP	1231	1.0	1.0		True
group_4462	1231	1.0	0.9886		False
folD	1231	1.0	0.9984		True
group_4461	1231	1.0	1.0		True
sdpB	1231	1.0	1.0		True
group_4458	1231	1.0	1.0		True
group_4457	1231	1.0	0.9976		True
group_4455	1231	1.0	1.0		True
group_4454	1231	1.0	1.0		True
group_4453	1231	1.0	0.9992		True
group_4451	1231	1.0	0.9984		True
group_4450	1231	1.0	0.9968		True
group_4448	1231	1.0	1.0		True
group_4445	1231	1.0	1.0		True
group_4439	1231	1.0	0.9992		True
lysM	1231	1.0	1.0		True
group_4430	1231	1.0	1.0		True
group_4427	1231	1.0	1.0		True
group_4420	1231	1.0	0.9992		True
group_4419	1231	1.0	1.0		True
group_4418	1231	1.0	1.0		True
group_4414	1231	1.0	0.9992		True
floA	1231	1.0	1.0		True
group_4409	1231	1.0	1.0		True
group_4407	1231	1.0	0.9984		True
gdpP	1231	1.0	0.9968		True
group_4402	1231	1.0	0.9976		True
group_4401	1231	1.0	0.9976		True
group_4400	1231	1.0	0.9813		False
group_4398	1231	1.0	1.0		True
group_4397	1231	1.0	0.9708		False
group_4396	1231	1.0	0.9659		False
group_4393	1231	1.0	0.9968	paralog_readval_masked	False
mazE	1231	1.0	1.0		True
gmpC	1231	1.0	0.987		False
group_4389	1231	1.0	1.0		True
group_4388	1231	1.0	0.9959		True
group_4387	1231	1.0	1.0		True
group_4384	1231	1.0	0.9992		True
group_4383	1231	1.0	0.9984		True
group_4382	1231	1.0	0.9976		True
narX	1231	1.0	1.0		True
purL	1231	1.0	1.0		True
group_4374	1231	1.0	1.0		True
group_4372	1231	1.0	0.9919		True
group_4369	1231	1.0	0.9992		True
group_4368	1231	1.0	0.9992		True
group_4367	1231	1.0	1.0		True
nifU	1231	1.0	1.0		True
group_4366	1231	1.0	0.9992		True
group_4364	1231	1.0	1.0		True
group_4363	1231	1.0	1.0		True
group_4362	1231	1.0	0.9992		True
group_4361	1231	1.0	0.9976		True
tagH	1231	1.0	1.0		True
group_4356	1231	1.0	1.0		True
group_4352	1231	1.0	0.9992		True
group_4348	1231	1.0	0.9959		True
group_4345	1231	1.0	0.9992		True
group_4341	1231	1.0	1.0		True
group_4339	1231	1.0	0.9984		True
group_4338	1231	1.0	0.9854		False
group_4337	1231	1.0	1.0		True
group_4336	1231	1.0	1.0		True
group_4334	1231	1.0	0.9992		True
group_4333	1231	1.0	1.0		True
group_4329	1231	1.0	0.9821		False
group_4323	1231	1.0	0.9984		True
group_4321	1231	1.0	0.9854		False
group_4316	1231	1.0	0.9984		True
rocG	1231	1.0	1.0		True
group_4314	1231	1.0	0.9911		True
group_4308	1231	1.0	0.9984		True
group_4306	1231	1.0	0.9976		True
group_4305	1231	1.0	1.0	paralog_readval_masked	False
aroP	1231	1.0	0.9984		True
group_4304	1231	1.0	1.0		True
group_4303	1231	1.0	1.0		True
group_4302	1231	1.0	1.0		True
group_4301	1231	1.0	0.9886		False
group_4291	1231	1.0	1.0		True
group_4290	1231	1.0	1.0		True
group_4286	1231	1.0	0.9992		True
group_4285	1231	1.0	0.9643		False
mepA	1231	1.0	0.9659		False
group_4283	1231	1.0	0.9992		True
mnmE	1231	1.0	1.0		True
group_4281	1231	1.0	0.9992		True
group_4280	1231	1.0	1.0		True
group_4279	1231	1.0	1.0		True
group_4276	1231	1.0	1.0		True
group_4270	1231	1.0	0.9951		True
lipM	1231	1.0	0.9992		True
group_4266	1231	1.0	1.0		True
group_4265	1231	1.0	0.9968		True
aldA	1231	1.0	0.9976		True
secA	1231	1.0	0.9245		False
yclF	1231	1.0	1.0		True
group_4261	1231	1.0	0.9992		True
group_4260	1231	1.0	1.0		True
recX	1231	1.0	1.0		True
gatA	1231	1.0	0.9984		True
group_4256	1231	1.0	0.9976		True
group_4253	1231	1.0	0.9984		True
group_4252	1231	1.0	1.0		True
group_4250	1231	1.0	0.9911		True
group_4249	1231	1.0	1.0		True
group_4248	1231	1.0	1.0	paralog_readval_masked	False
ltaS	1231	1.0	1.0		True
group_4243	1231	1.0	1.0		True
group_4242	1231	1.0	0.9976		True
group_4241	1231	1.0	1.0		True
group_4240	1231	1.0	0.9789		False
group_4236	1231	1.0	0.9992		True
bipA~~~typA	1231	1.0	0.9976		True
sasF	1231	1.0	0.9959		True
group_4227	1231	1.0	0.9838		False
group_4226	1231	1.0	0.9992		True
rlmN	1231	1.0	0.9992		True
group_4224	1231	1.0	0.9992		True
group_4222	1231	1.0	0.9903		True
group_4218	1231	1.0	0.9992		True
group_4216	1231	1.0	0.9927		True
group_4215	1231	1.0	0.9968		True
feoB	1231	1.0	0.9854		False
group_4214	1231	1.0	0.9927		True
group_4213	1231	1.0	1.0		True
group_4211	1231	1.0	0.9586		False
group_4210	1231	1.0	1.0		True
arlS	1231	1.0	0.9911		True
group_4204	1231	1.0	0.9984		True
group_4203	1231	1.0	0.9992		True
group_4201	1231	1.0	0.9984		True
group_4200	1231	1.0	1.0		True
group_4173	1231	1.0	0.9789		False
group_4162	1231	1.0	0.9992		True
group_4059	1231	1.0	1.0		True
group_4052	1231	1.0	0.9984		True
group_4049	1231	1.0	1.0		True
group_4048	1231	1.0	1.0		True
group_4047	1231	1.0	1.0		True
group_4045	1231	1.0	1.0		True
sdpC	1231	1.0	0.9943		True
group_4041	1231	1.0	1.0		True
recN	1231	1.0	0.9992		True
group_4036	1231	1.0	1.0		True
group_4030	1231	1.0	0.9976		True
group_4029	1231	1.0	0.9992		True
group_4028	1231	1.0	0.9992		True
group_4025	1231	1.0	0.9756		False
group_4017	1231	1.0	0.9911		True
group_4007	1231	1.0	1.0		True
group_4005	1231	1.0	0.9992		True
group_3997	1231	1.0	0.9959		True
group_3996	1231	1.0	0.9984		True
yloV	1231	1.0	0.9992		True
group_3994	1231	1.0	1.0		True
group_3989	1231	1.0	1.0		True
group_3987	1231	1.0	0.9976		True
group_3986	1231	1.0	0.9984		True
group_3961	1231	1.0	0.9992		True
group_3959	1231	1.0	0.9976		True
group_3954	1231	1.0	1.0		True
group_3953	1231	1.0	1.0		True
rimM	1231	1.0	1.0		True
group_3949	1231	1.0	1.0		True
fmhA~~~femA	1231	1.0	0.9553		False
group_3947	1231	1.0	1.0		True
group_3944	1231	1.0	1.0		True
group_3938	1231	1.0	1.0		True
group_3933	1231	1.0	0.9976	paralog_readval_masked	False
group_3931	1231	1.0	0.9992		True
abgT	1231	1.0	0.9569		False
group_3926	1231	1.0	0.9959		True
group_3924	1231	1.0	0.9976		True
isdD	1231	1.0	0.9943		True
group_3918	1231	1.0	1.0		True
harA	1231	1.0	0.922		False
group_3916	1231	1.0	1.0		True
group_3915	1231	1.0	0.9992		True
grpB	1231	1.0	1.0		True
group_3913	1231	1.0	0.9992		True
group_3911	1231	1.0	0.9951		True
group_3909	1231	1.0	0.9992		True
group_3906	1231	1.0	0.9992		True
group_3905	1231	1.0	0.9976		True
group_3901	1231	1.0	0.9984		True
brxB	1231	1.0	0.9992		True
group_3900	1231	1.0	0.9976		True
sirC	1231	1.0	1.0		True
group_3899	1231	1.0	0.9968		True
yrhE	1231	1.0	0.9959	paralog_readval_masked	False
group_3893	1231	1.0	0.9992		True
group_3891	1231	1.0	1.0		True
group_3890	1231	1.0	1.0		True
group_3889	1231	1.0	1.0		True
group_3886	1231	1.0	0.9691		False
sufS	1231	1.0	1.0		True
group_3879	1231	1.0	1.0		True
group_3877	1231	1.0	1.0		True
group_3873	1231	1.0	1.0		True
group_3872	1231	1.0	1.0		True
hssR	1231	1.0	1.0		True
group_3869	1231	1.0	1.0		True
group_3866	1231	1.0	1.0		True
group_3859	1231	1.0	0.9984		True
group_3853	1231	1.0	0.9992		True
group_3852	1231	1.0	1.0		True
group_3851	1231	1.0	1.0		True
group_3849	1231	1.0	0.9976		True
purQ	1231	1.0	0.9992		True
group_3821	1231	1.0	0.9984		True
group_3790	1231	1.0	1.0		True
mntH	1231	1.0	0.9959		True
dltX	1231	1.0	1.0		True
group_3746	1231	1.0	0.9992		True
xerC	1231	1.0	0.9992		True
sdcS	1231	1.0	0.9959		True
purH	1231	1.0	0.9984		True
group_3689	1231	1.0	0.9992		True
group_3603	1231	1.0	0.9976		True
lrgB	1231	1.0	1.0		True
group_3560	1231	1.0	0.9602		False
group_3545	1231	1.0	0.9968		True
camS	1231	1.0	0.9976		True
group_3537	1231	1.0	0.9667		False
dhaK	1231	1.0	0.9976		True
group_3536	1231	1.0	0.9862		False
group_3535	1231	1.0	0.9976		True
murT	1231	1.0	0.9984		True
group_3534	1231	1.0	0.9773		False
group_3532	1231	1.0	0.9984		True
group_3530	1231	1.0	0.9829		False
gtfA	1231	1.0	0.9959		True
cap8D	1231	1.0	0.9374		False
group_3522	1231	1.0	0.9959		True
group_3516	1231	1.0	0.9992		True
group_3512	1231	1.0	0.9927		True
group_3508	1231	1.0	0.9984		True
group_3504	1231	1.0	0.9878		False
group_3500	1231	1.0	0.9992		True
group_3499	1231	1.0	1.0		True
group_3494	1231	1.0	0.9984		True
dhaL	1231	1.0	0.9992		True
recQ	1231	1.0	0.9927		True
group_3489	1231	1.0	1.0		True
ypdE~~~yhfE	1231	1.0	0.9959		True
group_3474	1231	1.0	0.9984		True
group_3470	1231	1.0	1.0		True
group_3456	1231	1.0	0.9984	paralog_readval_masked	False
group_3455	1231	1.0	0.9894		False
group_3451	1231	1.0	0.9984		True
group_3449	1231	1.0	0.9992		True
group_3448	1231	1.0	0.9976		True
group_3440	1231	1.0	0.9732		False
group_3439	1231	1.0	0.9984		True
group_3435	1231	1.0	0.9862		False
group_3434	1231	1.0	0.9968		True
group_3431	1231	1.0	0.9992		True
group_3426	1231	1.0	0.9976		True
group_3422	1231	1.0	0.9699		False
group_3417	1231	1.0	0.9992		True
group_3414	1231	1.0	1.0		True
group_3413	1231	1.0	0.9935		True
group_3408	1231	1.0	0.9984		True
group_3407	1231	1.0	0.9708		False
gatD	1231	1.0	0.9984		True
group_3404	1231	1.0	0.9984		True
group_3401	1231	1.0	1.0		True
group_3397	1231	1.0	0.9992		True
group_3394	1231	1.0	1.0		True
group_3393	1231	1.0	0.9984		True
group_3391	1231	1.0	0.9943		True
group_3390	1231	1.0	0.9894		False
group_3388	1231	1.0	0.9886		False
group_3387	1231	1.0	1.0		True
group_3386	1231	1.0	0.9976		True
group_3384	1231	1.0	0.9992	paralog_readval_masked	False
group_3381	1231	1.0	0.9992		True
group_3380	1231	1.0	0.9992		True
cspA	1231	1.0	1.0	paralog_readval_masked	False
group_3371	1231	1.0	1.0		True
